student_id,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,projects,certifications,technical_skills,aptitude_score,communication_score,attendance,placed,company,package_lpa,placement_year
S0242,Computer,6.07,95.59,70.1,1,1,2,1,8,92.27,61.41,96.36,1,Wipro,5.93,2025
S0243,Computer,5.16,61.4,72.57,2,0,3,2,1,84.9,87.53,98.78,0,Not Placed,0.0,2025
S0244,Electronics,8.26,74.9,61.1,0,1,2,1,6,92.13,85.49,66.95,1,Infosys,6.33,2026
S0245,Electronics,6.84,97.18,71.19,0,2,3,5,4,72.19,94.64,68.92,0,Not Placed,0.0,2026
S0246,Electronics,9.32,75.79,79.79,1,1,2,1,2,85.11,40.89,81.03,0,Not Placed,0.0,2026
S0247,Mechanical,7.37,92.13,83.8,0,1,5,0,6,48.4,88.55,63.65,1,Tech Mahindra,4.99,2025
S0248,Computer,9.84,80.32,83.92,1,2,3,0,7,60.9,96.31,77.46,1,Infosys,4.29,2026
S0249,Mechanical,5.93,71.14,76.01,1,2,4,2,1,63.37,87.36,83.27,0,Not Placed,0.0,2026
S0250,Electronics,9.34,67.29,90.7,4,3,1,2,5,70.68,47.81,80.88,1,Cognizant,11.41,2026
S0251,Computer,8.88,63.74,86.78,0,0,2,1,6,95.74,44.88,73.24,1,Infosys,5.22,2025
S0252,Mechanical,8.85,87.76,84.07,0,1,2,1,5,92.46,41.25,81.7,1,Accenture,5.22,2026
S0253,Mechanical,9.22,71.62,52.5,0,2,3,0,8,48.07,77.72,98.35,0,Not Placed,0.0,2026
S0254,Electronics,8.81,76.98,50.31,0,2,4,2,7,50.37,77.78,68.24,1,Accenture,7.16,2026
S0255,Computer,8.13,76.17,59.56,2,1,1,2,5,61.46,99.21,86.19,1,Cognizant,10.11,2026
S0256,Electronics,5.66,79.82,79.86,0,0,1,0,5,57.44,63.88,61.74,0,Not Placed,0.0,2026
S0257,Computer,5.16,92.22,68.5,0,2,4,0,8,76.89,59.91,62.66,0,Not Placed,0.0,2024
S0258,Civil,9.6,97.17,68.11,1,2,2,0,3,94.17,77.47,82.07,1,TCS,8.26,2025
S0259,IT,8.08,72.53,89.81,0,0,3,0,4,97.74,89.54,64.2,1,Accenture,6.67,2026
S0260,IT,8.98,90.58,90.3,0,1,3,2,2,79.22,96.21,60.89,1,Cognizant,7.0,2025
S0261,IT,7.41,87.87,90.91,0,0,4,0,2,90.29,88.19,66.86,1,Tech Mahindra,10.4,2026
S0262,Electronics,5.59,79.66,64.12,2,0,1,1,1,71.51,65.6,82.59,0,Not Placed,0.0,2025
S0263,Civil,5.63,96.11,81.1,0,0,1,0,3,52.5,78.09,88.13,0,Not Placed,0.0,2025
S0264,Computer,8.43,63.62,62.22,2,1,3,5,6,71.48,91.38,68.1,0,Not Placed,0.0,2026
S0265,Mechanical,7.15,59.7,58.58,0,1,5,4,8,73.3,69.44,86.73,1,TCS,8.58,2024
S0266,Computer,6.0,91.72,58.31,1,1,2,1,6,84.55,53.0,67.3,0,Not Placed,0.0,2026
S0267,Mechanical,7.46,73.88,65.39,2,1,2,1,2,53.19,50.18,84.54,0,Not Placed,0.0,2026
S0268,Computer,5.32,91.42,69.35,0,2,3,1,4,62.1,40.01,76.48,0,Not Placed,0.0,2024
S0269,Civil,7.91,93.4,87.39,0,0,5,2,5,61.84,83.09,86.15,1,Cognizant,11.35,2026
S0270,Mechanical,6.34,57.69,55.4,0,0,4,0,7,97.57,46.67,99.8,1,Accenture,6.72,2024
S0271,Electronics,8.99,92.99,83.07,1,2,5,2,1,66.64,54.63,97.51,1,Cognizant,3.13,2025
S0272,Computer,6.55,74.28,73.92,0,0,0,2,4,85.31,57.87,60.17,1,Cognizant,5.59,2024
S0273,Computer,7.28,76.95,62.96,0,3,1,4,2,85.05,73.62,95.42,0,Not Placed,0.0,2024
S0274,Mechanical,5.06,81.94,72.18,0,2,3,0,3,55.93,63.88,62.66,0,Not Placed,0.0,2026
S0275,Electronics,5.36,94.83,63.5,0,1,4,3,1,74.31,80.48,98.12,0,Not Placed,0.0,2026
S0276,Electronics,6.96,55.82,76.82,0,3,2,3,8,93.66,43.34,71.27,1,TCS,10.75,2024
S0277,Civil,7.4,75.5,69.52,0,0,2,0,2,68.51,47.44,75.28,0,Not Placed,0.0,2026
S0278,Electronics,8.0,84.57,57.4,0,0,4,1,6,96.71,69.95,63.67,1,Deloitte,11.9,2026
S0279,Electronics,6.46,86.08,55.25,2,1,1,0,1,52.87,60.22,64.49,0,Not Placed,0.0,2026
S0280,Electronics,8.47,84.78,74.6,1,1,2,1,8,44.45,57.75,89.07,0,Not Placed,0.0,2025
S0281,IT,9.3,60.78,90.61,0,3,3,1,2,93.49,44.02,97.77,1,Cognizant,3.35,2026
S0282,Civil,8.9,67.87,65.48,3,0,3,2,6,90.86,93.74,84.43,1,Accenture,7.44,2025
S0283,Computer,5.2,70.42,82.99,1,1,4,1,7,99.56,81.51,88.63,0,Not Placed,0.0,2026
S0284,Mechanical,7.4,89.59,79.64,3,1,2,4,6,80.76,47.3,90.48,1,Infosys,3.23,2026
S0285,Computer,5.52,66.99,91.92,0,1,3,0,5,96.2,43.9,70.51,0,Not Placed,0.0,2024
S0286,Civil,6.21,64.06,86.94,0,0,3,5,8,89.62,98.49,61.81,1,TCS,5.31,2024
S0287,Mechanical,9.93,96.17,75.5,0,1,3,1,8,90.67,80.87,60.07,1,Infosys,6.34,2025
S0288,Civil,5.71,55.38,79.57,1,2,3,3,3,74.15,65.05,74.03,0,Not Placed,0.0,2024
S0289,Electronics,7.49,97.91,90.43,0,0,2,1,8,62.94,82.1,69.66,0,Not Placed,0.0,2025
S0290,Mechanical,8.09,84.1,67.98,0,2,1,0,5,96.07,85.38,62.49,1,Accenture,8.09,2026
S0291,Electronics,8.51,90.62,64.71,0,1,1,4,2,65.93,86.8,67.18,1,Infosys,10.9,2025
S0292,Computer,7.8,67.67,50.49,0,2,2,1,7,72.33,68.67,64.98,1,Tech Mahindra,9.19,2025
S0293,Computer,5.05,55.62,87.19,0,2,3,2,4,66.77,65.79,96.6,0,Not Placed,0.0,2025
S0294,Mechanical,6.63,86.73,86.04,0,0,4,2,7,73.89,40.66,65.61,1,Cognizant,8.3,2024
S0295,Mechanical,7.59,90.87,54.7,0,1,4,2,7,68.23,95.59,81.51,0,Not Placed,0.0,2025
S0296,Civil,5.44,86.84,75.96,0,2,4,2,8,42.88,76.2,83.72,0,Not Placed,0.0,2026
S0297,Civil,6.75,61.14,70.88,3,1,2,3,7,92.92,52.19,81.74,0,Not Placed,0.0,2024
S0298,Electronics,5.17,87.4,55.34,1,3,2,0,8,66.66,95.18,63.96,0,Not Placed,0.0,2026
S0299,Mechanical,5.39,88.06,94.13,3,1,2,2,5,75.34,94.9,72.75,0,Not Placed,0.0,2025
S0300,Computer,6.98,83.32,59.66,1,0,1,4,4,48.35,99.35,62.05,1,Infosys,5.54,2026
S0301,Civil,5.66,87.94,53.03,0,1,1,0,6,40.2,92.44,75.83,0,Not Placed,0.0,2024
S0302,Civil,7.84,91.37,76.77,0,3,3,0,8,54.72,99.87,67.54,1,Infosys,7.92,2026
S0303,Computer,8.45,81.38,83.25,1,0,5,3,2,82.28,54.68,82.47,1,Infosys,3.22,2026
S0304,Civil,9.0,58.81,51.46,0,2,1,1,3,45.95,90.53,87.71,0,Not Placed,0.0,2026
S0305,Electronics,6.0,75.97,79.64,0,2,0,1,4,94.53,89.38,81.28,0,Not Placed,0.0,2026
S0306,Mechanical,5.84,58.34,73.95,0,1,4,0,2,52.9,53.86,77.37,0,Not Placed,0.0,2026
S0307,Computer,5.52,72.52,54.65,0,0,2,2,8,52.28,45.91,75.49,0,Not Placed,0.0,2026
S0308,Mechanical,8.18,72.51,57.76,0,2,4,0,4,50.89,98.77,93.67,1,Capgemini,7.42,2026
S0309,Civil,8.53,57.84,75.56,0,0,4,2,8,40.84,57.76,68.77,0,Not Placed,0.0,2026
S0310,Civil,5.16,70.0,63.34,0,2,5,3,5,86.31,92.25,89.37,1,Capgemini,3.45,2026
S0311,Computer,9.68,59.77,92.22,1,1,2,1,2,92.5,40.25,90.3,1,Cognizant,4.04,2025
S0312,Electronics,5.26,89.75,86.84,0,1,3,2,5,76.85,41.26,76.77,0,Not Placed,0.0,2025
S0313,IT,7.71,95.75,94.26,0,2,3,5,1,51.29,67.95,71.89,1,Cognizant,5.53,2026
S0314,Computer,8.55,58.11,61.69,0,1,3,2,2,57.12,54.32,78.82,0,Not Placed,0.0,2025
S0315,IT,9.35,96.07,93.64,1,1,2,3,4,68.56,81.39,63.73,0,Not Placed,0.0,2026
S0316,IT,8.57,77.47,69.41,0,1,1,1,1,97.26,73.93,61.84,0,Not Placed,0.0,2024
S0317,Electronics,9.01,67.88,65.64,0,1,3,3,5,54.84,44.65,64.46,1,Accenture,4.36,2025
S0318,IT,6.7,58.31,52.27,0,1,3,0,5,83.9,49.76,67.49,0,Not Placed,0.0,2026
S0319,IT,9.07,76.53,52.37,0,2,4,0,4,66.37,63.28,80.17,1,Infosys,3.76,2026
S0320,Electronics,5.4,89.16,81.14,3,1,4,1,1,57.87,51.14,93.97,0,Not Placed,0.0,2025
S0321,IT,9.47,85.4,70.61,3,1,3,1,7,67.35,87.53,69.43,1,Tech Mahindra,7.36,2024
S0322,IT,7.74,57.16,60.19,0,1,1,3,6,44.27,64.96,97.41,0,Not Placed,0.0,2025
S0323,IT,9.09,58.13,77.63,0,0,4,1,3,87.92,45.61,98.2,1,Infosys,11.82,2026
S0324,Computer,7.26,72.32,61.38,1,0,3,2,4,54.6,69.06,98.36,0,Not Placed,0.0,2024
S0325,Computer,8.22,67.7,75.99,0,3,4,3,5,83.52,45.45,93.5,1,TCS,8.0,2026
S0326,Computer,7.63,64.99,66.16,0,2,5,2,2,44.1,47.74,74.55,0,Not Placed,0.0,2026
S0327,Electronics,8.66,67.08,87.06,0,1,1,1,1,97.31,54.38,62.91,1,Deloitte,6.83,2026
S0328,Civil,5.41,89.55,86.93,3,1,4,2,8,51.58,91.57,82.75,0,Not Placed,0.0,2024
S0329,IT,5.3,94.96,71.48,0,0,0,1,6,92.96,95.48,82.35,0,Not Placed,0.0,2024
S0330,IT,6.24,72.42,65.79,0,1,2,0,3,88.57,89.58,94.0,0,Not Placed,0.0,2025
S0331,Electronics,5.8,93.96,66.32,1,1,3,5,2,98.07,60.04,99.84,0,Not Placed,0.0,2025
S0332,IT,9.36,68.82,86.26,0,1,1,0,1,68.67,56.35,80.33,1,Infosys,5.39,2024
S0333,Computer,6.1,75.49,64.77,0,1,4,0,6,83.64,72.95,73.81,1,Cognizant,6.99,2026
S0334,Civil,9.88,64.72,59.41,4,0,0,4,4,62.24,83.31,67.44,0,Not Placed,0.0,2025
S0335,Mechanical,6.68,82.54,53.81,0,0,1,1,8,51.06,99.6,60.19,0,Not Placed,0.0,2025
S0336,IT,5.91,97.1,71.0,0,3,3,2,6,66.58,47.89,80.36,0,Not Placed,0.0,2025
S0337,Computer,8.95,80.95,71.7,0,1,4,1,4,49.94,42.96,82.22,0,Not Placed,0.0,2026
S0338,Mechanical,8.29,70.39,87.84,0,1,5,1,8,98.92,81.66,93.0,1,Accenture,7.9,2024
S0339,Civil,7.49,82.86,59.96,0,0,4,1,8,45.77,89.93,80.18,1,Accenture,5.8,2024
S0340,Mechanical,7.78,60.29,67.14,0,0,3,1,7,75.35,90.78,96.66,1,Tech Mahindra,9.47,2024
S0341,Computer,8.6,93.21,86.38,0,2,2,1,1,77.59,80.71,85.12,0,Not Placed,0.0,2026
S0342,Mechanical,6.14,76.63,87.06,2,1,0,3,8,72.28,97.24,93.61,0,Not Placed,0.0,2026
S0343,Electronics,9.98,74.32,67.31,0,1,1,2,6,79.73,70.66,65.93,1,Infosys,8.26,2025
S0344,Mechanical,9.87,80.19,70.66,0,0,3,4,8,46.97,94.83,94.21,1,Infosys,11.4,2024
S0345,IT,8.25,81.87,63.65,0,2,3,0,3,73.3,98.07,87.01,1,Cognizant,6.62,2024
S0346,IT,6.0,58.09,91.96,1,0,2,2,6,57.23,90.83,66.81,0,Not Placed,0.0,2026
S0347,Electronics,8.4,84.35,55.34,0,0,4,2,1,96.41,58.59,67.59,0,Not Placed,0.0,2024
S0348,Computer,5.36,65.4,92.02,0,1,3,4,2,85.72,51.77,97.06,0,Not Placed,0.0,2026
S0349,IT,5.15,85.7,80.77,0,0,1,0,2,98.35,72.89,61.29,0,Not Placed,0.0,2024
S0350,Civil,6.29,90.37,73.92,0,0,1,2,6,42.25,67.18,78.5,0,Not Placed,0.0,2024
S0351,IT,7.31,89.57,51.47,0,1,4,4,6,57.11,92.67,72.54,1,Infosys,10.7,2024
S0352,IT,9.34,78.76,71.4,2,1,4,1,4,51.73,46.0,86.6,1,Capgemini,5.91,2026
S0353,Computer,8.64,77.37,68.35,0,2,4,4,1,40.67,55.46,93.59,0,Not Placed,0.0,2026
S0354,Mechanical,8.71,61.14,57.25,0,1,1,0,4,54.54,85.11,74.42,0,Not Placed,0.0,2026
S0355,IT,7.13,88.34,79.54,0,0,5,3,3,80.73,45.7,77.08,1,Capgemini,4.6,2025
S0356,Electronics,6.73,66.67,93.7,2,0,2,4,7,53.87,59.25,99.28,1,Tech Mahindra,10.64,2024
S0357,Mechanical,6.86,76.36,75.3,0,3,0,2,2,70.54,63.23,91.36,1,TCS,10.83,2026
S0358,Civil,9.94,67.22,82.16,0,1,5,1,8,93.27,77.36,95.89,1,TCS,11.61,2025
S0359,Computer,5.2,60.75,53.08,0,2,2,0,8,81.63,49.49,77.55,0,Not Placed,0.0,2026
S0360,Civil,9.34,82.07,68.8,0,0,3,4,5,63.68,91.64,69.36,1,Cognizant,7.73,2025
S0361,Mechanical,7.89,57.34,55.24,0,1,1,2,5,62.35,66.85,76.47,0,Not Placed,0.0,2024
S0362,Mechanical,7.19,87.19,77.58,0,0,3,0,1,67.34,95.02,88.64,0,Not Placed,0.0,2024
S0363,Mechanical,8.63,68.66,92.23,0,1,5,2,8,50.62,68.07,64.38,1,Deloitte,5.75,2026
S0364,Civil,7.43,55.01,79.78,0,3,2,2,1,78.04,56.5,70.82,0,Not Placed,0.0,2025
S0365,Mechanical,9.37,76.98,53.46,0,3,3,0,5,61.85,48.51,61.87,1,Deloitte,5.88,2026
S0366,Civil,9.5,57.01,65.96,0,1,1,1,1,91.14,40.22,77.29,1,Capgemini,7.7,2025
S0367,Mechanical,7.11,66.88,74.78,0,1,3,0,2,85.39,71.93,93.1,1,Tech Mahindra,8.48,2026
S0368,Electronics,6.38,85.4,68.14,1,3,2,2,3,76.63,46.43,60.99,0,Not Placed,0.0,2025
S0369,Mechanical,7.96,57.7,87.51,3,1,2,2,3,61.85,63.5,87.01,0,Not Placed,0.0,2024
S0370,Civil,9.56,91.09,86.66,4,0,2,2,8,52.6,75.36,97.3,1,Deloitte,7.61,2026
S0371,IT,6.05,55.16,77.53,2,1,1,3,4,86.57,56.54,69.48,0,Not Placed,0.0,2025
S0372,Mechanical,8.11,65.61,66.81,0,0,5,4,2,69.18,50.51,87.75,1,Capgemini,8.15,2026
S0373,IT,8.16,86.86,61.49,1,1,2,2,7,53.49,86.48,99.0,1,Infosys,3.96,2026
S0374,Electronics,8.67,68.6,54.76,0,1,2,0,1,51.71,96.81,98.49,0,Not Placed,0.0,2025
S0375,Computer,5.66,59.38,65.97,0,1,2,2,1,49.92,46.03,69.4,0,Not Placed,0.0,2026
S0376,Electronics,8.58,70.49,68.59,0,1,2,1,8,86.63,49.34,64.01,0,Not Placed,0.0,2026
S0377,Mechanical,9.55,66.63,80.41,0,0,4,2,7,53.74,97.6,65.93,1,Deloitte,8.15,2025
S0378,IT,5.9,91.24,79.62,1,1,5,2,4,71.6,42.27,88.08,1,Wipro,11.01,2026
S0379,IT,6.19,68.47,53.15,0,2,2,1,4,67.09,98.66,89.03,0,Not Placed,0.0,2026
S0380,Civil,9.86,88.92,67.79,0,1,4,4,1,74.78,40.28,86.97,1,Deloitte,11.14,2024
S0381,IT,5.9,93.35,58.18,3,0,3,0,1,92.63,92.42,73.44,0,Not Placed,0.0,2025
S0382,Civil,9.27,73.65,57.06,0,3,1,2,7,92.06,58.44,66.79,1,TCS,11.64,2024
S0383,Computer,7.46,94.13,87.23,0,3,3,0,8,67.06,96.32,83.23,1,Accenture,7.25,2026
S0384,Mechanical,6.24,71.22,51.89,2,0,3,4,2,40.92,59.02,79.35,0,Not Placed,0.0,2026
S0385,Civil,9.35,96.46,68.86,0,0,3,0,7,65.59,79.26,89.15,1,Capgemini,7.77,2026
S0386,Computer,7.23,58.84,57.57,0,2,4,0,4,76.37,44.8,77.65,0,Not Placed,0.0,2024
S0387,IT,7.57,84.54,89.57,0,2,2,1,7,73.47,54.54,73.55,0,Not Placed,0.0,2025
S0388,IT,6.8,76.23,75.07,0,3,5,1,7,79.08,86.42,71.74,1,Deloitte,5.0,2026
S0389,Computer,7.96,71.67,60.41,2,2,4,1,7,49.24,71.72,68.46,1,Infosys,3.73,2025
S0390,IT,5.82,82.21,72.61,0,1,3,2,2,78.79,95.68,70.63,0,Not Placed,0.0,2026
S0391,Computer,6.96,85.27,82.92,0,1,3,1,6,50.96,65.73,63.79,1,Wipro,7.7,2026
S0392,Civil,9.85,55.19,93.12,0,0,2,0,1,85.03,92.19,73.87,0,Not Placed,0.0,2024
S0393,Civil,6.29,62.18,59.92,0,0,5,1,5,60.35,66.94,61.46,0,Not Placed,0.0,2024
S0394,Computer,8.28,85.66,89.88,3,1,3,3,8,82.59,98.75,67.46,1,Accenture,10.71,2025
S0395,Civil,6.63,83.65,92.04,0,1,0,2,7,42.87,97.59,89.87,0,Not Placed,0.0,2026
S0396,Civil,8.87,96.54,91.24,0,1,2,3,8,64.47,59.75,73.02,1,Wipro,6.02,2026
S0397,Civil,5.65,87.72,78.59,0,2,3,2,5,82.3,93.16,86.73,1,Infosys,5.63,2026
S0398,Electronics,9.85,95.88,78.34,1,0,1,1,6,53.61,90.86,88.68,1,Capgemini,4.87,2025
S0399,Mechanical,7.27,85.21,68.14,3,1,0,0,1,87.72,52.64,83.25,0,Not Placed,0.0,2024
S0400,IT,6.18,67.82,83.86,0,0,3,1,4,77.85,77.46,98.35,0,Not Placed,0.0,2026
S0401,Electronics,5.37,59.53,73.91,0,1,2,3,5,75.25,44.36,60.86,0,Not Placed,0.0,2024
S0402,Civil,5.85,88.62,80.48,0,2,2,5,8,61.21,90.2,89.55,1,Tech Mahindra,5.12,2026
S0403,Computer,7.6,82.7,69.28,1,1,2,2,8,68.95,50.47,98.35,0,Not Placed,0.0,2024
S0404,Civil,6.69,57.07,82.92,0,3,1,0,8,75.84,44.25,94.49,1,TCS,10.13,2024
S0405,Mechanical,9.14,70.48,87.1,2,0,3,0,4,68.35,64.01,66.72,1,Cognizant,3.34,2025
S0406,Civil,7.15,96.14,56.59,0,1,3,1,5,81.9,74.62,73.07,1,Capgemini,7.41,2025
S0407,Computer,6.24,76.52,87.48,2,0,2,2,8,66.02,91.3,66.9,0,Not Placed,0.0,2026
S0408,Mechanical,8.09,73.61,74.31,0,1,2,0,4,52.14,98.45,84.05,1,Tech Mahindra,6.63,2024
S0409,Civil,8.53,74.68,88.01,0,2,3,4,7,52.84,66.37,88.49,1,Tech Mahindra,6.97,2026
S0410,Mechanical,5.84,63.98,69.41,0,1,1,1,8,40.35,43.63,72.68,0,Not Placed,0.0,2026
S0411,IT,5.84,70.85,67.06,0,2,1,4,5,58.06,84.95,81.58,1,TCS,8.88,2025
S0412,IT,5.18,70.9,91.18,2,0,1,3,4,84.94,73.91,87.64,0,Not Placed,0.0,2025
S0413,Civil,8.68,57.25,61.3,1,2,4,3,6,87.65,66.87,76.85,1,Infosys,9.32,2026
S0414,Mechanical,8.32,88.01,87.99,1,0,4,2,2,52.15,58.56,94.16,0,Not Placed,0.0,2024
S0415,Computer,7.37,72.91,71.78,0,2,4,2,4,97.54,70.14,90.86,1,Capgemini,4.47,2026
S0416,Civil,9.22,90.35,73.13,0,0,4,2,2,70.14,60.32,62.59,1,Tech Mahindra,10.88,2026
S0417,IT,9.03,91.56,63.88,1,0,3,2,2,95.02,85.42,84.85,1,Capgemini,11.64,2024
S0418,IT,7.93,64.12,75.79,0,1,3,2,1,82.41,72.63,69.41,1,Tech Mahindra,10.79,2026
S0419,Civil,9.34,83.27,64.63,0,3,3,5,7,83.35,92.61,82.3,1,Tech Mahindra,10.84,2025
S0420,Mechanical,6.03,75.31,51.77,0,0,0,3,6,45.1,72.61,98.28,0,Not Placed,0.0,2024
S0421,IT,5.56,92.85,62.24,0,1,3,3,2,53.2,54.3,95.16,0,Not Placed,0.0,2026
S0422,Mechanical,6.35,64.28,50.29,0,2,4,4,3,40.53,91.07,76.18,0,Not Placed,0.0,2024
S0423,IT,5.29,84.15,94.03,0,1,3,1,7,82.97,73.43,71.66,0,Not Placed,0.0,2026
S0424,IT,7.66,81.13,93.46,0,0,2,0,2,60.67,52.41,69.38,0,Not Placed,0.0,2026
S0425,Electronics,9.68,67.7,67.78,4,1,2,2,4,87.2,77.41,81.3,0,Not Placed,0.0,2024
S0426,IT,5.2,60.87,82.78,0,1,3,2,2,60.34,61.46,64.57,0,Not Placed,0.0,2025
S0427,Computer,5.61,83.02,65.56,0,3,3,3,4,89.16,90.66,81.97,1,Tech Mahindra,7.93,2024
S0428,Civil,7.26,86.76,80.2,0,2,4,1,8,47.84,67.2,60.05,1,Tech Mahindra,11.75,2024
S0429,Civil,9.67,68.57,86.24,1,1,2,2,4,50.4,83.59,72.95,1,Infosys,8.26,2024
S0430,Mechanical,6.58,82.73,92.6,0,3,4,2,3,60.45,45.73,68.8,0,Not Placed,0.0,2026
S0431,IT,7.54,71.99,68.01,0,1,3,0,2,64.51,63.76,98.85,1,Accenture,3.28,2026
S0432,Computer,5.21,85.67,85.25,0,0,4,2,2,60.92,98.99,89.09,0,Not Placed,0.0,2026
S0433,Mechanical,5.74,63.57,61.97,0,0,3,3,5,85.82,88.51,73.99,1,Wipro,11.06,2025
S0434,Electronics,9.93,93.28,94.56,0,1,3,0,7,45.82,49.6,63.71,1,Deloitte,4.42,2026
S0435,Mechanical,9.83,67.36,51.16,1,0,3,2,5,61.07,56.67,80.67,0,Not Placed,0.0,2025
S0436,Mechanical,5.02,70.81,77.16,2,3,4,2,1,90.23,59.79,68.54,0,Not Placed,0.0,2025
S0437,IT,9.76,57.5,79.68,0,2,5,0,4,44.01,79.02,81.46,1,Cognizant,6.24,2025
S0438,Electronics,8.2,59.8,80.96,0,0,1,0,3,96.54,85.42,93.41,1,Tech Mahindra,5.34,2024
S0439,Mechanical,9.34,77.18,55.42,2,1,1,5,5,99.18,84.97,84.63,1,Wipro,4.37,2026
S0440,Computer,7.27,66.51,92.23,0,2,5,1,2,45.31,70.59,85.35,1,Accenture,9.56,2026
S0441,Computer,7.58,90.93,58.15,1,3,3,1,1,57.48,88.65,81.64,1,Infosys,9.82,2026
S0442,Civil,7.44,55.63,78.02,0,2,3,0,3,62.34,66.22,97.09,0,Not Placed,0.0,2026
S0443,Electronics,8.33,71.3,60.02,3,1,3,2,6,86.58,47.43,97.28,0,Not Placed,0.0,2026
S0444,Electronics,5.7,69.51,63.82,1,2,1,2,2,75.76,73.87,80.51,0,Not Placed,0.0,2024
S0445,Civil,5.15,55.83,74.59,3,1,4,2,2,78.66,97.14,72.23,0,Not Placed,0.0,2025
S0446,Mechanical,6.54,60.35,68.77,1,1,4,0,8,85.45,87.58,78.38,1,Capgemini,6.08,2026
S0447,Electronics,8.52,72.79,57.21,0,0,2,4,6,47.08,74.72,67.46,1,Infosys,9.82,2024
S0448,Computer,6.01,76.19,57.69,3,0,2,1,4,89.99,78.81,85.45,0,Not Placed,0.0,2026
S0449,Computer,8.37,72.38,68.82,0,1,4,1,4,82.34,95.83,80.0,1,TCS,9.53,2025
S0450,IT,9.85,77.83,84.08,0,0,1,2,5,74.64,65.7,64.13,1,Cognizant,6.19,2025
S0451,Electronics,5.47,80.59,90.41,1,0,4,1,5,93.38,59.88,67.91,0,Not Placed,0.0,2025
S0452,Mechanical,8.36,55.43,53.79,1,2,2,4,2,82.02,98.63,79.19,0,Not Placed,0.0,2026
S0453,Civil,7.22,74.96,67.69,3,0,3,4,7,52.1,91.81,95.5,1,TCS,11.89,2025
S0454,Civil,9.34,96.43,54.51,0,1,5,1,2,65.78,59.38,82.66,0,Not Placed,0.0,2026
S0455,Mechanical,5.89,77.32,50.75,1,1,3,4,5,69.64,67.83,87.26,1,Infosys,3.22,2025
S0456,IT,8.46,84.13,79.78,1,3,2,3,6,43.31,64.9,73.56,1,TCS,6.38,2026
S0457,Civil,9.19,68.41,77.11,0,1,3,4,5,97.28,48.95,82.86,1,Tech Mahindra,4.09,2024
S0458,Electronics,9.72,88.28,57.34,0,0,2,1,2,47.71,97.47,77.9,1,Infosys,6.92,2024
S0459,IT,8.42,88.24,60.52,0,1,2,2,3,81.85,64.26,86.37,0,Not Placed,0.0,2024
S0460,Electronics,7.49,77.42,51.07,0,2,5,1,2,70.37,92.52,62.02,1,TCS,9.2,2025
S0461,Computer,8.09,96.97,87.57,4,3,4,3,3,41.54,51.36,79.73,0,Not Placed,0.0,2025
S0462,IT,9.34,60.4,93.86,0,1,3,0,3,95.48,72.87,71.84,1,Wipro,11.41,2026
S0463,Civil,7.85,55.73,56.1,1,0,2,2,2,91.11,41.44,73.05,0,Not Placed,0.0,2025
S0464,IT,5.15,88.12,60.42,4,3,0,1,7,71.46,85.85,98.44,0,Not Placed,0.0,2024
S0465,IT,9.65,89.71,89.08,0,0,0,1,7,53.74,74.85,67.31,1,Deloitte,3.84,2024
S0466,IT,8.45,60.17,91.69,1,1,3,2,1,47.3,77.54,72.45,0,Not Placed,0.0,2024
S0467,IT,8.38,66.42,68.88,0,1,4,4,5,61.8,43.1,80.4,0,Not Placed,0.0,2025
S0468,Electronics,6.08,55.75,52.28,2,0,3,2,7,55.33,52.66,94.52,0,Not Placed,0.0,2024
S0469,Computer,8.29,67.61,51.77,0,0,4,4,4,70.4,44.46,76.67,0,Not Placed,0.0,2025
S0470,Mechanical,6.97,88.25,75.83,3,0,0,1,2,97.98,57.33,89.75,0,Not Placed,0.0,2025
S0471,IT,8.26,77.27,67.68,0,1,2,2,3,74.5,77.65,94.25,0,Not Placed,0.0,2026
S0472,Civil,5.53,69.97,51.29,0,3,2,2,2,93.4,73.97,72.4,0,Not Placed,0.0,2026
S0473,IT,8.29,70.98,76.25,1,0,2,0,5,79.05,76.73,75.71,1,Capgemini,5.92,2025
S0474,Civil,10.0,55.06,50.51,0,2,1,2,6,68.51,72.96,74.26,1,Deloitte,8.15,2024
S0475,Electronics,5.24,67.89,85.43,0,0,5,2,7,91.28,56.38,93.31,1,Infosys,8.59,2025
S0476,Civil,9.89,82.8,63.79,0,1,2,2,7,68.28,54.67,61.77,1,Wipro,10.88,2024
S0477,Mechanical,7.03,96.89,51.81,1,0,5,3,7,92.12,48.22,72.34,0,Not Placed,0.0,2024
S0478,Computer,9.35,91.42,76.48,0,3,2,2,3,57.49,90.94,87.18,1,Wipro,7.97,2026
S0479,Civil,8.91,56.01,67.9,0,2,5,0,4,47.73,76.99,82.62,1,Tech Mahindra,3.69,2024
S0480,Civil,7.84,93.64,93.82,0,1,3,0,8,91.32,51.19,77.45,1,Wipro,11.13,2026
S0481,Computer,8.69,88.68,74.49,0,2,5,2,4,75.24,50.63,81.6,1,Accenture,8.01,2024
S0482,Mechanical,9.39,88.56,62.39,0,1,0,1,7,93.35,92.38,67.9,1,Infosys,4.3,2026
S0483,IT,7.02,74.69,81.92,0,3,4,0,4,96.27,84.56,77.23,1,Cognizant,11.92,2026
